,SECID,SECNAME,FACEVALUE,COUPONPERCENT
79,RU000A0JV8D0,ВЭБ-лизинг АО БО-04,1000.0,0.1
80,RU000A0JV8G3,ВЭБ-лизинг АО БО-05,1000.0,0.1
81,RU000A0JV987,"""Россельхозбанк"" (АО) БО-17",1000.0,9.7
82,RU000A0JV9D8,ВЭБ-лизинг АО БО-06,1000.0,7.91
83,RU000A0JV9H9,ВЭБ-лизинг АО БО-07,1000.0,7.91
84,RU000A0JV9Q0,ТрансФин-М ПАО БО-31,1000.0,8.5
85,RU000A0JVA10,ГосТранспортЛизингКомп БО-04,1000.0,13.8
86,RU000A0JVA77,Солидарность КБ АО БО-02,1000.0,9.5
87,RU000A0JVB19,"""Российские ЖД"" ОАО 33 обл.",1000.0,12.94
88,RU000A0JVB27,"""Российские ЖД"" ОАО 34 обл.",1000.0,12.94
89,RU000A0JVBX1,"""Банк Зенит"" (ПАО) БО-09",1000.0,0.1
90,RU000A0JVCB5,ФСК Россети(ПАО)-обл. сер.37,1000.0,8.48
91,RU000A0JVD25,РусГидро (ПАО) 09,1000.0,0.01
92,RU000A0JVDD9,ФСК Россети(ПАО)-обл. сер.38,1000.0,8.48
93,RU000A0JVEQ9,"ПАО ""АНК ""Башнефть"" БО-03",1000.0,16.0
94,RU000A0JVF98,Магистраль двух столиц кл. А1,1000.0,9.69
95,RU000A0JVFC6,Ростелеком ПАО БО-01,1000.0,7.0
96,RU000A0JVFD4,"ПАО ""АНК ""Башнефть"" БО-04",1000.0,16.0
97,RU000A0JVHF5,"ПАО ""АНК ""Башнефть"" БО-07",1000.0,16.0
98,RU000A0JVHH1,ТрансФин-М ПАО БО-39,1000.0,8.5
99,RU000A0JVKH5,"""Российские ЖД"" ОАО 35 обл.",1000.0,12.94
100,RU000A0JVLA8,Магистраль двух столиц кл. А2,1000.0,9.19
101,RU000A0JVLM3,Россети Ленэнерго ПАО БО-05,1000.0,15.0
102,RU000A0JVM32,"АКБ ПАО ""ПЕРЕСВЕТ"" БО-03",1000.0,0.51
103,RU000A0JVM81,Оренбургская область 35003 об.,400.0,14.0
104,RU000A0JVN56,"""Россельхозбанк"" (АО) обл.24",1000.0,17.6
105,RU000A0JVN64,"""Россельхозбанк"" (АО) обл.25",1000.0,17.6
106,RU000A0JVN98,"""Россельхозбанк"" (АО) обл.26",1000.0,17.6
107,RU000A0JVNB2,РОСБАНК ПАО обл. БО-25,1000.0,1.0
108,RU000A0JVNL1,ВЭБ-лизинг USD-001P-01,1000.0,3.09
109,RU000A0JVP39,КАМАЗ ПАО БО-12,1000.0,11.24
110,RU000A0JVPS1,ТрансФин-М ПАО БО-40,1000.0,9.5
111,RU000A0JVRL2,"АКБ ПАО ""ПЕРЕСВЕТ"" БО-П01",1000.0,0.51
112,RU000A0JVS36,ТрансФин-М ПАО БО-41,1000.0,8.5
113,RU000A0JVT43,Концерн РОССИУМ ООО 01 об.,1000.0,13.75
114,RU000A0JVUK8,"АФК ""Система"" ПАО БО 001P-01",1000.0,10.5
115,RU000A0JVUN2,Вымпел-Коммуникации ПАО БО-02,1000.0,10.0
116,RU000A0JVUP7,Вымпел-Коммуникации ПАО БО-03,1000.0,10.0
117,RU000A0JVUS1,РЕСО-Лизинг ООО БО-3,1000.0,11.0
118,RU000A0JVUY9,РОСБАНК ПАО обл. БО-08,1000.0,1.0
119,RU000A0JVVK6,"ПАО ""ПСБ"" БО-01",1000.0,16.2
120,RU000A0JVVL4,"АКБ ПАО ""ПЕРЕСВЕТ"" БО-П02",1000.0,0.51
121,RU000A0JVVP5,"ПАО ""ПСБ"" БО-02",1000.0,16.2
122,RU000A0JVVT7,"ПАО ""ПСБ"" БО-03",1000.0,16.2
123,RU000A0JVW71,"""Российские ЖД"" ОАО БО-02",1000.0,13.4
124,RU000A0JVWA5,РОСБАНК ПАО обл. БО-19,1000.0,1.0
125,RU000A0JVWB3,"""Россельхозбанк"" (АО) БО-09",1000.0,8.65
126,RU000A0JVWD9,ГосТранспортЛизингКомп БО-05,1000.0,14.34
127,RU000A0JVWJ6,ГосТранспортЛизингКомп БО-06,1000.0,11.64
128,RU000A0JVXS5,РЕСО-Лизинг ООО БО-4,1000.0,14.0
129,RU000A0JVXZ0,"АФК ""Система"" ПАО БО 001P-02",1000.0,7.5
130,RU000A0JVY04,РЖД ОАО 36 обл.,1000.0,12.94
131,RU000A0JVYG8,РОСЭКСИМБАНК АО обл.01,1000.0,9.3
132,RU000A0JVZA8,Концерн РОССИУМ ООО БО-01,1000.0,17.0
133,RU000A0JVZB6,ДелоПортс ООО 01,1000.0,0.01
134,RU000A0JVZK7,Россети Кубань ПАО 001P-01,1000.0,10.44
135,RU000A0JW0S4,"АО ""ПКТ"" обл. 01",1000.0,5.0
136,RU000A0JW126,КАМАЗ ПАО БО-13,1000.0,10.39
137,RU000A0JW1P8,ГосТранспортЛизингКомп БО-07,1000.0,10.98
138,RU000A0JW3A6,Вертолеты России об. БО-01,1000.0,11.9
139,RU000A0JW5E3,"АО ""ПКТ"" обл. 02",1000.0,0.01
140,RU000A0JW6P7,ВЭБ.РФ ПБО-001Р-01,1000.0,11.6
141,RU000A0JWB59,"АКБ ""Держава"" 03",1000.0,15.0
142,RU000A0JWBP5,"АО ""ПКТ"" обл. 03",1000.0,6.5
143,RU000A0JWC82,"""Российские ЖД"" ОАО БО-07",1000.0,7.75
144,RU000A0JWCM0,"""Трубная Мет.Комп."" ОАО БО-05",1000.0,9.75
145,RU000A0JWD57,"""Российские ЖД"" ОАО БО-05",1000.0,9.3
146,RU000A0JWDB1,"АО ""Объед.двигателестр.корп""03",1000.0,11.5
147,RU000A0JWDN6,РУСАЛ Братский алюм. з-д БО-01,1000.0,0.01
148,RU000A0JWF30,ИАМультиоригинаторный 1 кл.А/4,17.24,11.0
149,RU000A0JWGD0,"ПАО ""АНК ""Башнефть"" БО-08",1000.0,10.9
150,RU000A0JWGS8,РОСБАНК ПАО обл. БО-20,1000.0,1.0
151,RU000A0JWGV2,Почта России (АО) БО-02,1000.0,11.5
152,RU000A0JWH87,"ПАО ""АНК ""Башнефть"" БО-02",1000.0,16.0
153,RU000A0JWHA4,ГОВОЗ РФ 12840077V (RU),200000.0,4.75
154,RU000A0JWHU2,"""Российские ЖД"" ОАО БО-17",1000.0,9.85
155,RU000A0JWHW8,Новосибирск  мун.обл. 2016,300.0,9.2
156,RU000A0JWJX2,ПАО Россети Моск.рег. БО-05,1000.0,8.4
157,RU000A0JWK41,"""Газпром нефть"" ПАО БО-03",1000.0,7.75
158,RU000A0JWK74,"АО ""Объед.двигателестр.корп""01",1000.0,10.75
159,RU000A0JWLU4,"""Российские ЖД"" ОАО 42 обл.",1000.0,9.7
160,RU000A0JWM15,"АКБ ПАО ""ПЕРЕСВЕТ"" БО-П05",1000.0,0.51
161,RU000A0JWM56,Самарская область 2016,250.0,9.64
162,RU000A0JWMZ1,"""Россельхозбанк"" (АО) обл.06Т1",1000.0,14.5
163,RU000A0JWN22,"""Россельхозбанк"" (АО) обл.07Т1",1000.0,14.5
164,RU000A0JWN63,МОСТОТРЕСТ ПАО 07 обл.,1000.0,0.01
165,RU000A0JWN89,МОСТОТРЕСТ ПАО 08 обл.,1000.0,0.01
166,RU000A0JWNB0,РОСБАНК ПАО обл. БО-26,1000.0,7.65
167,RU000A0JWRV9,Мобильные ТелеСистемы ПАО БО-2,1000.0,6.25
168,RU000A0JWST1,ГосТранспортЛизингКомп БО-08,1000.0,8.21
169,RU000A0JWT91,Удмуртская респ. обл. 2016,1000.0,10.55
170,RU000A0JWTL6,Почта России (АО) БО-03,1000.0,12.0
171,RU000A0JWTN2,Ростелеком ПАО 001P-01R,1000.0,7.3
172,RU000A0JWTV5,ГосТранспортЛизингКомп 001P-01,375.0,12.82
173,RU000A0JWU23,ООО Трансп.Концесс.Комп. кл.Б,1000.0,12.0
174,RU000A0JWU31,ООО Трансп.Концесс.Комп. кл.A1,1000.0,10.3
175,RU000A0JWUB5,РОСБАНК ПАО обл. БО12,1000.0,1.0
176,RU000A0JWV63,"""Россельхозбанк"" (АО) обл.08Т1",1000.0,14.25
177,RU000A0JWV89,Акрон (ПАО) БО-001P-01,1000.0,3.0
178,RU000A0JWVL2,ПАО ЛК Европлан БО-07,1000.0,8.8
179,RU000A0JWVT5,РЕСО-Лизинг ООО БО-5,1000.0,8.2
180,RU000A0JWWM8,ТрансФин-М ПАО 001P-01,1000.0,8.5
181,RU000A0JWX04,"ПАО ""АНК ""Башнефть"" БО-09",1000.0,0.01
182,RU000A0JWYJ0,"Группа компаний ""Самолет"" 01",1000.0,19.25
183,RU000A0JWYQ5,"АФК ""Система"" ПАО БО 001P-04",1000.0,13.5
184,RU000A0JWZ77,Свердловская обл. 03,200.0,9.8
185,RU000A0JWZY6,"АФК ""Система"" ПАО БО-001P-05",1000.0,6.85
186,RU000A0JX090,ФСК Россети(ПАО) БО-02,1000.0,8.45
187,RU000A0JX132,ПАО НК Роснефть 001P-01,1000.0,7.0
188,RU000A0JX199,ГосТранспортЛизингКомп 001P-02,600.6,9.0
189,RU000A0JX1C5,КАМАЗ ПАО БО-14,1000.0,9.92
190,RU000A0JX1S1,"""Российские ЖД"" ОАО 41 обл.",1000.0,8.9
191,RU000A0JX2B5,КАМАЗ ПАО БО-15,1000.0,9.63
192,RU000A0JX2D1,РОСБАНК ПАО обл. БО-12,1000.0,8.55
193,RU000A0JX2F6,РОСБАНК ПАО обл. БО-11,1000.0,8.55
194,RU000A0JX2L4,"ЗАО ""КРАУС-М"" БО 001P-01",1000.0,10.0
195,RU000A0JX2M2,РОСЭКСИМБАНК АО БО-001P-01,1000.0,7.75
196,RU000A0JX2P5,"ПАО ""АНК ""Башнефть""БО-001P-01R",1000.0,9.5
197,RU000A0JX2Q3,"ПАО ""АНК ""Башнефть"" БО-10",1000.0,9.5
198,RU000A0JX2R1,ДОМ.РФ (АО) БО-05,1000.0,11.0
