,SECID,SECNAME,FACEVALUE,COUPONPERCENT
334,RU000A0ZYNY4,ГосТранспортЛизингКомп 001P-07,1000.0,11.7
335,RU000A0ZYQU5,ДОМ.РФ (АО) БО 001P-02R,1000.0,8.7
336,RU000A0ZYQY7,"АФК ""Система"" ПАО БО-001P-07",1000.0,6.9
337,RU000A0ZYR91,ГТЛК БО 001Р-08,1000.0,11.32
338,RU000A0ZYT40,ПАО НК Роснефть 002P-04,1000.0,8.0
339,RU000A0ZYU05,РЖД БО 001Р-05R,1000.0,7.3
340,RU000A0ZYU21,АЛЬФА-БАНК АО БО-40,1000.0,6.15
341,RU000A0ZYU54,Сфера финансов БО-01Р-01,1000.0,8.0
342,RU000A0ZYUV5,Газпром капитал ООО БО-01,1000.0,7.15
343,RU000A0ZYUW3,Газпром капитал ООО БО-02,1000.0,7.15
344,RU000A0ZYUY9,Газпром капитал ООО БО-03,1000.0,7.15
345,RU000A0ZYV04,Газпром капитал ООО БО-04,1000.0,7.15
346,RU000A0ZYVU5,ПАО НК Роснефть 002P-05,1000.0,7.3
347,RU000A0ZYWB3,АЛЬФА-БАНК АО БО-39,1000.0,7.75
348,RU000A0ZYWU3,АФК Система БО 001P-08,1000.0,9.0
349,RU000A0ZYWY5,Мобильные ТелеСистемы 001P-06,1000.0,7.25
350,RU000A0ZYWZ2,Совкомбанк ПАО обл. 2В03,100.0,8.25
351,RU000A0ZYX28,Совкомбанк ПАО обл. 1В02,100.0,10.0
352,RU000A0ZYX69,Федерал пассажир комп 001Р-03,1000.0,7.2
353,RU000A0ZYXV9,Газпром нефть БО 001Р-06R,1000.0,7.2
354,RU000A0ZYYE3,Ростелеком ПАО 001P-04R,1000.0,7.15
355,RU000A0ZYYN4,ГОВОЗ РФ 12840080V (RU),200000.0,4.375
356,RU000A0ZZ1J8,ГТЛК БО 001P-09,1000.0,7.35
357,RU000A0ZZ1M2,ПИК СЗ (ПАО) БО-П04,1000.0,13.5
358,RU000A0ZZ1N0,ДОМ.РФ АО 001Р-03R,1000.0,8.95
359,RU000A0ZZ4P9,РЖД БО 001Р-06R,1000.0,9.45
360,RU000A0ZZ4T1,Россельхозбанк (АО) обл. 01Т1,1000.0,9.0
361,RU000A0ZZ505,Россельхозбанк (АО) обл. 09Т1,1000.0,9.0
362,RU000A0ZZ5H3,Почта России (АО) БО-001P-04,1000.0,9.9
363,RU000A0ZZ5J9,Почта России (АО) БО-001P-05,1000.0,9.9
364,RU000A0ZZ7C0,ДОМ.РФ АО 001Р-04R,1000.0,15.75
365,RU000A0ZZ7E6,Республика Саха (Якутия) об.10,400.0,7.55
366,RU000A0ZZ7G1,КАМАЗ ПАО об. БО-07,1000.0,13.521
367,RU000A0ZZ7H9,КАМАЗ ПАО об. БО-08,1000.0,13.521
368,RU000A0ZZ877,КАМАЗ ПАО об. БО-10,1000.0,12.662
369,RU000A0ZZ885,КАМАЗ ПАО об. БО-09,1000.0,12.662
370,RU000A0ZZ893,КАМАЗ ПАО об. БО-11,1000.0,12.662
371,RU000A0ZZ8X4,Краснодарский край 35002 обл.,500.0,7.63
372,RU000A0ZZ984,ГТЛК БО 001P-10,1000.0,13.32
373,RU000A0ZZ9P8,Самарская область 35014 обл.,450.0,7.45
374,RU000A0ZZ9R4,РЖД БО 001Р-07R,1000.0,7.3
375,RU000A0ZZBV2,ПАО ЛК Европлан БО-08,1000.0,10.35
376,RU000A0ZZC48,Красноярский край 35015 обл.,200.0,7.64
377,RU000A0ZZCH9,ДОМ.РФ Ипотечный агент 05-002P,185.34,8.0
378,RU000A0ZZCX6,Концерн РОССИУМ ООО 001P-01,1000.0,17.37
379,RU000A0ZZDB0,ЕАБР БО 001Р-01,1000.0,8.2
380,RU000A0ZZE87,МОСКОВСКИЙ КРЕДИТНЫЙ БАНК 15,1000.0,15.0
381,RU000A0ZZEM5,Ярославская область 35016 обл.,700.0,7.95
382,RU000A0ZZER4,Газпром ПАО БО-07,1000.0,8.1
383,RU000A0ZZES2,Газпром ПАО БО-22,1000.0,8.1
384,RU000A0ZZET0,Газпром ПАО БО-23,1000.0,8.1
385,RU000A0ZZFZ4,ГПБ (АО) 01-АТ1,1000.0,14.01
386,RU000A0ZZGT5,РЖД ОАО БО 001Р-08R,1000.0,12.24
387,RU000A0ZZM87,Красноярский край 35016 обл.,300.0,8.7
388,RU000A0ZZNJ2,Республика Саха (Якутия) об.11,500.0,8.95
389,RU000A0ZZNL8,Сфера финансов БО-01Р-02,1000.0,12.0
390,RU000A0ZZNW5,ДОМ.РФ Ипотечный агент 04-002P,153.57,8.3
391,RU000A0ZZQH9,Свердловская область 05,200.0,8.68
392,RU000A0ZZQQ0,Хабаровский край 07,600.0,9.0
393,RU000A0ZZR33,Липецкая область 10,300.0,8.57
394,RU000A0ZZRY2,РЖД ОАО БО 001Р-09R,1000.0,12.9
395,RU000A0ZZS73,Сфера финансов БО-01Р-03,1000.0,12.0
396,RU000A0ZZSW4,Камчатский край 01,400.0,9.05
397,RU000A0ZZTK7,ТрансКомплектХолдинг AО БО-П2,1000.0,9.5
398,RU000A0ZZTL5,Федерал пассажир комп 001Р-05,1000.0,12.89
399,RU000A0ZZUS8,"""Россельхозбанк"" (АО) обл.31Т1",1000.0,10.1
400,RU000A0ZZUT6,Нижегородская область 35013,200.0,8.68
401,RU000A0ZZV11,ГТЛК БО 001P-12,1000.0,9.1
402,RU000A0ZZV86,ДОМ.РФ Ипотечный агент 06-002P,161.96,9.95
403,RU000A0ZZVE6,ГОВОЗ РФ 12978082V (RU),100000.0,2.875
404,RU000A0ZZVQ0,Россельхозбанк АО БО-07Р,1000.0,10.5
405,RU000A0ZZWQ8,Концессии водснаб Саратов 01,769.24,17.0
406,RU000A0ZZXS2,Сбербанк ПАО 001P-50R,1000.0,8.8
407,RU000A0ZZXZ7,Кировская область 35001,500.0,8.5
408,RU000A0ZZY59,Россельхозбанк АО 11В1,1000.0,9.0
409,RU000A0ZZZ09,ДОМ.РФ Ипотечный агент 08-002P,188.68,9.28
410,RU000A0ZZZ17,Нижнекамскнефтехим об. 001Р-01,1000.0,9.75
411,RU000A0ZZZ25,РосДорБанк ПАО об. 02,1000.0,17.0
412,RU000A0ZZZ58,ДОМ.РФ Ипотечный агент 07-002P,281.2,
413,RU000A0ZZZV1,Республика Карелия 35019,300.0,8.45
414,RU000A0ZZZY5,Концерн РОССИУМ ООО 001P-02,1000.0,17.0
415,RU000A0ZZZZ2,ГК Самолет БО-П04,1000.0,14.0
416,RU000A100030,Автодор ГК БО-002Р-01,780.0,13.24
417,RU000A1001T8,ММЦБ ПАО БО-П01-01,1000.0,13.0
418,RU000A1003A4,ГТЛК БО 001P-13,1000.0,9.57
419,RU000A1003R8,ГПБ (АО) БО 001Р-06Р,1000.0,9.05
420,RU000A1003W8,ВЭБ.РФ ПБО-001Р-14,1000.0,8.93
421,RU000A1004A2,НПК АО ПБО-02,250.0,8.8
422,RU000A1004K1,ПАО ЛК Европлан БО-05,1000.0,7.7
423,RU000A1004L9,Правоурмийское ООО БО-01,1000.0,9.5
424,RU000A1004P0,Сбербанк ПАО ИОС 001P-63R,1000.0,0.62
425,RU000A1004W6,ДОМ.РФ АО 001Р-05R,1000.0,8.35
426,RU000A1005H4,МОЭК ПАО БО 001Р-01,1000.0,8.25
427,RU000A1005L6,АФК Система БО 001P-09,1000.0,11.3
428,RU000A1005T9,ФПК Гарант-Инвест БО 001P-05,100.0,12.0
429,RU000A100691,ВБРР 001P-03,1000.0,8.5
430,RU000A1006C3,Пионер-Лизинг БО-П02,1000.0,22.25
431,RU000A1006G4,МегаФон ПАО БО-001P-06,1000.0,8.9
432,RU000A1006H2,МегаФон ПАО БО-002P-01,1000.0,8.9
433,RU000A1006S9,ГОВОЗ РФ 12840086V (RU),200000.0,5.1
434,RU000A1006X9,СЕВЕРГАЗБАНК 01,10000000.0,10.0
435,RU000A1006Y7,СЕВЕРГАЗБАНК 02,10000000.0,10.0
436,RU000A1006Z4,СЕВЕРГАЗБАНК 03,10000000.0,10.0
437,RU000A100725,Брайт Финанс ООО БО-П01,1000.0,21.0
438,RU000A100733,АВТОБАН-Финанс АО БО-П02,1000.0,7.25
439,RU000A100790,ТРИНФИКО Холдингс БО-01,1000.0,10.0
440,RU000A1007H0,Славнефть БО 001Р-02,1000.0,9.0
441,RU000A1007Q1,АВАНГАРД АКБ ПАО БО-001P-02,1000.0,0.01
442,RU000A1007U3,АРАГОН ООО БО-П01,1000.0,11.5
443,RU000A1007Z2,РЖД ОАО БО 001Р-13R,1000.0,9.1
444,RU000A100881,Ростелеком ПАО 001P-05R,1000.0,8.4
445,RU000A1008D7,РЖД ОАО БО 001Р-14R,1000.0,9.1
446,RU000A1008J4,АФК Система БО 001P-10,1000.0,9.9
447,RU000A1008L0,Северсталь ПАО БО-07,1000.0,8.65
448,RU000A1008P1,ПАО НК Роснефть 002P-06,1000.0,8.7
449,RU000A1008Q9,ПАО НК Роснефть 002P-07,1000.0,8.7
450,RU000A1008V9,РОСНАНО АО 08,1000.0,13.43
451,RU000A1008W7,Северсталь ПАО БО-06,1000.0,8.65
452,RU000A1008Y3,Почта России (АО) БО-001P-07,1000.0,9.5
453,RU000A1009A1,МегаФон ПАО БО-002P-02,1000.0,8.9
454,RU000A1009L8,РЖД ОАО БО 001Р-15R,1000.0,8.8
455,RU000A1009Z8,"""О'КЕЙ"" ООО БО 001Р-02",1000.0,9.9
456,RU000A100A66,Мобильные ТелеСистемы 001P-09,1000.0,8.6
457,RU000A100AN7,МОЭК ПАО БО 001Р-02,1000.0,9.4
458,RU000A100B73,МЕТАЛЛОИНВЕСТ БО-09,1000.0,8.85
459,RU000A100CN3,Республика Саха (Якутия) об.12,600.0,8.59
460,RU000A100D89,Республика Беларусь 07,1000.0,8.5
461,RU000A100DC4,МСБ-Лизинг 002Р-02,62.65,12.75
462,RU000A100DG5,ПАО ЛК Европлан БО-06,600.0,10.25
463,RU000A100DQ4,ДОМ.РФ Ипотечный агент 09-002P,225.29,9.5
464,RU000A100DS0,СберИОС 001Р-91R BSK 8%,1000.0,0.615
465,RU000A100DZ5,ИКБ Совкомбанк ПАО обл. БО-П01,1000.0,13.75
466,RU000A100EC2,СберИОС 001Р-95R 5Y BANKS 10%,1000.0,0.01
467,RU000A100ET6,ДОМ.РФ АО 001Р-06R,1000.0,8.65
468,RU000A100EV2,УОМЗ ПО АО БО-П01,1000.0,1.0
469,RU000A100FE5,ГТЛК БО 001P-14,1000.0,11.39
470,RU000A100GW5,АЛЬФА-БАНК С01-01,10000000.0,11.75
471,RU000A100HE1,АЗБУКА_ВКУСА_БОП1,1000.0,11.0
472,RU000A100HH4,ГПБ (АО) БО 001Р-11Р,1000.0,8.2
473,RU000A100HU7,Мобильные ТелеСистемы 001P-10,1000.0,8.0
474,RU000A100HY9,РЖД ОАО БО 001Р-16R,1000.0,7.9
475,RU000A100JB3,ГПБ (АО) БО 001Р-12Р,1000.0,8.2
476,RU000A100JH0,Ритейл Бел Финанс 01,250.0,10.95
477,RU000A100KY3,ПАО НК Роснефть 002P-08,1000.0,7.95
478,RU000A100KZ0,СберИОС 001Р-112R 5Y ENTM 10.2,1000.0,0.01
479,RU000A100L55,Мобильные ТелеСистемы 001P-11,1000.0,7.9
480,RU000A100L63,НоваБев Групп ПАО БО-П02,500.0,9.5
481,RU000A100LE3,Ламбумиз БО-П01,7500.0,9.5
482,RU000A100LL8,Газпром капитал ООО БО-001Р-02,1000.0,7.8
483,RU000A100ME1,АРАГОН ООО БО-П02,1000.0,11.5
484,RU000A100MZ6,СберИОС 001Р-119R 12Y ЗПИФ,1000.0,0.016
485,RU000A100N12,АФК Система БО 001P-11,1000.0,10.9
486,RU000A100NS9,РЕСО-Лизинг ООО БО-П-05,1000.0,8.5
487,RU000A100P85,ЕвразХолдинг Финанс 002P-01R,1000.0,7.95
488,RU000A100PB0,ГУП ЖКХ РС (Я) БО-01,1000.0,13.25
489,RU000A100PP0,Белгородская область 34012 обл,250.0,7.8
490,RU000A100PR6,Ярославская область 35017 обл.,400.0,7.95
491,RU000A100PX4,СберИОС 001Р-123R 5Y DEF 10%,1000.0,0.01
492,RU000A100Q35,ПР-Лизинг ООО БО 001Р-03,1000.0,11.0
493,RU000A100Q50,ГК Самолет БО-П05,1000.0,15.5
494,RU000A100Q92,ЮАИЗ БО 1-002,1000.0,10.5
495,RU000A100QA0,ГК Самолет БО-П06,1000.0,11.25
496,RU000A100SZ3,Почта России (АО) БО-001P-06,1000.0,9.0
497,RU000A100TB2,ПНППК 001P-01,1000.0,13.0
498,RU000A100TP2,СберИОС 001Р-146R 5Y ENTM 12,1000.0,0.01
499,RU000A100UG9,ХКФ Банк БО-06,1000.0,9.35
500,RU000A100UT2,Почта России (АО) БО-001P-08,1000.0,9.5
501,RU000A100VG7,СУЭК-Финанс 001Р-03R,1000.0,2.0
502,RU000A100VQ6,ГМК Нор.никель БО-001P-01,1000.0,7.2
503,RU000A100VS2,Атомстройкомплекс 01,1000.0,9.5
504,RU000A100VV6,СберИОС 001Р-153R 5Y DEF 10%,1000.0,0.01
505,RU000A100VX2,Межд.Банк Эк.Сотруд. 001P-01,1000.0,13.25
506,RU000A100W60,ПАО ЛК Европлан БО-03,1000.0,10.0
507,RU000A100WA8,Группа ЛСР ПАО БО 001Р-04,400.0,8.5
508,RU000A100WF7,Новосибирск 35010,550.0,7.3
509,RU000A100X36,СберИОС 001Р-156R 5Y ТКОМ 11%,1000.0,0.01
510,RU000A100XB4,СберИОС001Р-145R 4.5Y O.G.100%,1000.0,1.055
511,RU000A100XC2,Полюс ПБО-01,1000.0,7.4
512,RU000A100XP4,МЭФ Московской области 2019,250.0,7.05
513,RU000A100XU4,РЕСО-Лизинг ООО БО-П-07,1000.0,8.65
514,RU000A100Y84,Белгородская область 34013 обл,250.0,7.0
515,RU000A100YB2,СберИОС 001Р-160R 5Y ENTM 12,1000.0,0.01
516,RU000A100YE6,ТрансКонтейнер ПБО-01,500.0,7.3
517,RU000A100YF3,МЕТАЛЛОИНВЕСТ БО-03,1000.0,7.15
518,RU000A100YQ0,ПАО НК Роснефть 002P-09,1000.0,7.1
519,RU000A100YY4,ДОМ.РФ Ипотечный агент 11-002P,286.41,7.1
520,RU000A100Z75,СберИОС 001Р-139R 5Y EC 115,1000.0,0.01
521,RU000A100Z91,ГТЛК БО 001P-15,400.0,7.69
522,RU000A100ZB9,ДОМ.РФ Ипотечный агент 10-002P,259.75,
523,RU000A100ZD5,Россети Урал БО-04,1000.0,8.8
524,RU000A100ZF0,Россети Урал БО-03,1000.0,8.8
525,RU000A100ZL8,Группа ЛСР ПАО БО 001Р-05,400.0,8.4
526,RU000A101012,АФК Система БО 001P-12,1000.0,7.85
527,RU000A1010B7,Транснефть ПАО БО-001P-13,1000.0,6.85
528,RU000A1010D3,Республика Саха (Якутия) об.13,700.0,6.95
529,RU000A1010M4,РЖД ОАО БО 001Р-17R,1000.0,6.75
530,RU000A101103,СберИОС 001Р-163R 4.5Y OG 100%,1000.0,1.055
531,RU000A101137,Газпром нефть БО 003Р-01R,1000.0,6.85
532,RU000A1011B5,Краснодарский край 35003 обл.,1000.0,6.95
533,RU000A1011F6,СберИОС 001Р-171R 5Y AUTO 10%,1000.0,0.01
534,RU000A1011H2,СберИОС 001Р-172R 5Y COMP 10%,1000.0,0.01
535,RU000A1011K6,СберИОС 001Р-173R 5Y DEF 10%,1000.0,0.01
536,RU000A1011Q3,Новосибирская область об. 20,800.0,6.5
537,RU000A101228,МОЭК ПАО БО 001Р-03,1000.0,9.3
538,RU000A1012B3,Федерал пассажир комп 001Р-07,1000.0,6.9
539,RU000A101350,ГПБ (АО) БО 001Р-14Р,1000.0,6.9
540,RU000A1013N6,Пионер-Лизинг БО-П03,1000.0,22.0
541,RU000A1013P1,ВЭБ.РФ ПБО-001Р-18,1000.0,7.27
542,RU000A1013T3,Липецкая область 11,200.0,6.6
543,RU000A1013U1,Славнефть БО 001Р-03,1000.0,8.5
544,RU000A101400,СберИОС 001Р-180R 5Y EC 110%,1000.0,0.01
545,RU000A1014B9,"""О'КЕЙ"" ООО БО 001Р-03",500.0,7.85
546,RU000A1014J2,Банк ВТБ ПАО Т2-3,10000000.0,8.4
547,RU000A1014S3,ХК Новотранс 001P-01,500.0,8.75
548,RU000A101541,Ростелеком ПАО 002P-01R,1000.0,6.85
549,RU000A101590,ДОМ.РФ АО 001Р-07R,1000.0,8.45
550,RU000A1015E0,НоваБев Групп 002P БО-П03,500.0,8.25
551,RU000A1015T8,"Аптечная сеть 36,6 001P-01",1000.0,17.5
552,RU000A1015U6,СберИОС 001Р-176R 4.5Y OG 100%,1000.0,1.054
553,RU000A101616,Россельхозбанк С01Е-01,150000.0,5.0
554,RU000A101640,СберИОС 001Р-181R 5Y SOFT 10%,1000.0,1.197
555,RU000A101657,СберИОС 001Р-182R 5Y ИНДКС 50%,1000.0,1.169
556,RU000A101665,Нижегородская область 35014,700.0,6.75
557,RU000A1016B4,ДОМ.РФ Ипотечный агент 12-002P,322.3,
558,RU000A1016N9,Свердловская область 06,750.0,6.7
559,RU000A1016Z3,ПИК-Корпорация 001Р-02,500.0,8.25
560,RU000A101780,РОСЭКСИМБАНК 002P-01,1000.0,13.98
561,RU000A1017H9,Автодор ГК БО-002Р-05,800.0,9.53
562,RU000A1017J5,Газпром нефть БО 003Р-02R,1000.0,7.15
563,RU000A1017Q0,СберИОС 001Р-187R 5Y TEC 9.0,1000.0,0.01
564,RU000A1017R8,СберИОС 001Р-188R 5Y IT 10.0,1000.0,0.01
565,RU000A1018A2,Адм. г.Томск 2019,400.0,7.37
566,RU000A1018C8,Трансмашхолдинг АО ПБО-04,1000.0,6.95
567,RU000A1018G9,Концессии водсн Саратов БО-01,833.34,18.5
568,RU000A1018M7,СОПФ ФПФ 01,1000.0,6.84
569,RU000A1018N5,Концерн РОССИУМ 001P-03,1000.0,16.75
570,RU000A1018T2,ДОМ.РФ Ипотечный агент 13-002P,264.36,
571,RU000A101947,Сибирский КХП 001P-01,1000.0,20.75
572,RU000A101988,МЭФ Московской области 34013,400.0,6.55
573,RU000A1019A0,ДОМ.РФ Ипотечный агент 04-001P,251.0,6.5
574,RU000A1019T0,СберИОС 001Р-192R 4.5Y O.G.90%,1000.0,1.054
575,RU000A101C14,СберИОС 001Р-207R 5Y ИНДКС 50%,1000.0,1.169
576,RU000A101C48,СберИОС 001Р-206R 5Y SOFT 10%,1000.0,1.165
577,RU000A101CD2,СберИОС 001Р-200R 4Г GAZP_asn,1000.0,0.01
578,RU000A101CJ9,СФО СБ Структурные продукты 01,1000.0,
579,RU000A101CL5,ФСК Россети ПАО БО 001P-04R,1000.0,6.75
580,RU000A101CQ4,СУЭК-Финанс 001Р-05R,1000.0,6.9
581,RU000A101CY8,СберИОС 001Р-212R 5Y IT,1000.0,0.01
582,RU000A101D54,ГТЛК-1520 П01-БО-02,600.0,17.3
583,RU000A101D62,СберИОС 001Р-208R 5Г REIT,1000.0,0.01
584,RU000A101D96,СФО РуСол 1 класс В,823.04,17.867
585,RU000A101DA6,СФО РуСол 1 класс А,697.43,11.367
586,RU000A101DB4,СФО РуСол 1 класс Б,741.29,15.367
587,RU000A101DE8,Россети Ленэнерго ПАО БО-03,1000.0,8.6
588,RU000A101DF5,Россети Ленэнерго ПАО БО-04,1000.0,8.6
589,RU000A101DR0,СберИОС 001Р-210R 5Y СМШ,1000.0,0.01
590,RU000A101EB2,СберИОС 001Р-214R 5Г CDX 105%,1000.0,0.946
591,RU000A101ED8,СберИОС 001Р-215R 5Y SOFT,1000.0,0.946
592,RU000A101EF3,МЕТАЛЛОИНВЕСТ БО-04,1000.0,6.55
593,RU000A101EL1,СберИОС 001Р-213R 5Y IT,1000.0,0.01
594,RU000A101EQ0,Банк ГПБ ГПБ-Т2-02Е,150000.0,3.25
595,RU000A101ER8,Банк ГПБ ГПБ-Т2-03Д,175000.0,4.7
596,RU000A101EW8,РОСНАНО АО БО-002P-02,1000.0,17.45
597,RU000A101FD5,СберИОС 001Р-217R 5Y SOFT 8.9%,1000.0,1.165
598,RU000A101FG8,Ростелеком ПАО 002P-02R,1000.0,6.65
599,RU000A101FH6,Мобильные ТелеСистемы 001P-14,1000.0,6.6
600,RU000A101FQ7,СберИОС 001Р-211R 5Y СМШ,1000.0,0.01
601,RU000A101FY1,ПАО Россети Моск.рег. БО1Р02,1000.0,6.15
602,RU000A101G69,СберИОС 001Р-220R LKOH_asn 100,1000.0,0.01
603,RU000A101GD3,ГТЛК БО 001P-16,625.0,6.95
604,RU000A101GF8,СберИОС 001Р-224R 5Y IT,1000.0,0.01
605,RU000A101GJ0,Газпром нефть БО 003Р-03R,1000.0,6.2
606,RU000A101GP7,СберИОС 001Р-226R 5Г REIT,1000.0,0.01
607,RU000A101GR3,ПАО ОТКРЫТИЕ ФК Банк БО-П06,1000.0,8.5
608,RU000A101GT9,СберИОС 001Р-230R 5Y IT,1000.0,0.01
609,RU000A101GZ6,Уралкалий ПАО ПБО-06-P,1000.0,6.85
610,RU000A101H84,РЖД ОАО БО 001Р-18R,1000.0,11.69
611,RU000A101H92,Промсвязьбанк ПАО обл.15,10000000.0,2.5
612,RU000A101HF6,СберИОС 001Р-223R 4.5Y O.G.90%,1000.0,1.051
613,RU000A101HG4,СберИОС 001Р-219R 5Y SOFT,1000.0,0.946
614,RU000A101HH2,СберИОС 001Р-218R 5Г CDX 105,1000.0,0.946
615,RU000A101HK6,СберИОС 001Р-231R 5Y СМШ,1000.0,0.01
616,RU000A101HP5,ИНГРАД 002P-02,1000.0,15.5
617,RU000A101J33,Промсвязьбанк ПАО обл.16,10000000.0,2.5
618,RU000A101J41,СберИОС 001Р-232R 5Г REIT,1000.0,0.01
619,RU000A101J58,СберИОС 001Р-233R 5Y СМШ,1000.0,0.01
620,RU000A101JD7,ДОМ.РФ Ипотечный агент 05-001P,318.96,6.5
621,RU000A101JE5,СберИОС 001Р-239R IMOEX_asn 4Г,1000.0,0.01
622,RU000A101JW7,СберИОС 001Р-229R 5Г CDX 100%,1000.0,0.946
623,RU000A101KB9,СберИОС 001Р-246R IMOEX_asn 4Г,1000.0,0.01
624,RU000A101KE3,Банк ВТБ (ПАО) Б-1-65,1000.0,0.01
625,RU000A101KF0,СберИОС 001Р-244R 5Г DEF ИНД,1000.0,0.01
626,RU000A101KH6,СберИОС 001Р-242R 5Y Cloud,1000.0,0.01
627,RU000A101KK0,РОСНАНО АО БО-002P-04,1000.0,6.75
628,RU000A101L21,СберИОС 001Р-250R 5Y США-ШВЕЙЦ,1000.0,0.01
629,RU000A101L96,ЕвроХим МХК АО БО-001Р-07,1000.0,8.25
630,RU000A101LB7,СберИОС 001Р-245R 5Г БТЕХ ИНД,1000.0,0.01
631,RU000A101LF8,СберИОС 001Р-252R 5Y США-ШВЕЙЦ,1000.0,0.01
632,RU000A101LJ0,ЕвроХим МХК АО БО-001Р-08,1000.0,8.05
633,RU000A101LM4,Международн.инвест.банк БО1P-2,1000.0,7.75
634,RU000A101LN2,Международн.инвест.банк БО1P-3,1000.0,7.75
635,RU000A101LS1,РЖД ОАО БО 001Р-19R,1000.0,7.55
636,RU000A101LT9,СберИОС 001Р-248R 5Г H.C.100%,1000.0,0.95
637,RU000A101LU7,СберИОС 001Р-241R 5Г CDX 100%,1000.0,0.946
638,RU000A101LX1,ФСК Россети ПАО БО 001P-05R,1000.0,6.5
639,RU000A101M04,РЖД ОАО БО 001Р-20R,1000.0,7.35
640,RU000A101MB5,Совкомбанк БО-П02,1000.0,13.5
641,RU000A101MG4,Российские сети ПАО БО-001Р-02,1000.0,6.5
642,RU000A101MH2,СберИОС 001Р-253R 5Г БТЕХ ИНД,1000.0,0.01
643,RU000A101MK6,СберИОС 001Р-254R IMOEX_asn 4Г,1000.0,0.01
644,RU000A101MW1,Банк ВТБ (ПАО) Б-1-66,1000.0,0.01
645,RU000A101NG2,Мобильные ТелеСистемы 001P-15,1000.0,6.6
646,RU000A101NH0,Мобильные ТелеСистемы 001P-16,1000.0,6.6
647,RU000A101NJ6,ЧЗПСН-Профнастил ПАО БО-П02,1000.0,12.0
648,RU000A101NQ1,ВБРР 001P-04,1000.0,8.75
649,RU000A101NX7,Банк ВТБ (ПАО) Б-1-68,1000.0,0.01
650,RU000A101P01,Банк ВТБ (ПАО) Б-1-69,1000.0,0.01
651,RU000A101P27,Республика Саха (Якутия) 35014,600.0,6.49
652,RU000A101PA0,Белгородская область 34014,750.0,5.9
653,RU000A101PB8,АЛРОСА ПАО БО-06,1000.0,5.75
654,RU000A101PC6,АЛРОСА ПАО БО-07,1000.0,5.75
655,RU000A101PD4,АЛРОСА ПАО БО-05,1000.0,5.75
656,RU000A101PF9,АЛРОСА ПАО БО-04,1000.0,5.75
657,RU000A101PG7,АЛРОСА ПАО БО-03,1000.0,5.75
658,RU000A101PK9,ЕАБР БО 001P-07,1000.0,5.9
659,RU000A101PS2,Банк ВТБ (ПАО) Б-1-71,1000.0,0.01
660,RU000A101Q26,АФК Система БО 001P-13,1000.0,6.6
661,RU000A101QF7,Ритейл Бел Финанс 001P-01,750.0,9.45
662,RU000A101QJ9,СберИОС 001Р-257R 5Г CDX 105%,1000.0,0.946
663,RU000A101QL5,ГТЛК БО 001P-17,1000.0,7.44
664,RU000A101QM3,Газпром капитал ООО БО-001Р-03,1000.0,5.7
665,RU000A101QN1,Газпром капитал ООО БО-001Р-04,1000.0,5.9
666,RU000A101QT8,СберИОС 001Р-269R IMOEX_asn 4Г,1000.0,0.01
667,RU000A101QV4,СберИОС 001Р-272R 5Y ТЕХ,1000.0,0.01
668,RU000A101QW2,Сбербанк ПАО 001Р-SBER16,1000.0,5.65
669,RU000A101QX0,СберИОС 001Р-270R 5Г БТЕХ ИНД,1000.0,0.01
670,RU000A101QY8,СберИОС 001Р-273R 5Y ФАРМА,1000.0,0.01
671,RU000A101R09,Росагролизинг 001P-01,1000.0,7.35
672,RU000A101R90,МЕТАЛЛОИНВЕСТ БО-10,1000.0,5.7
673,RU000A101RB4,Белгородская область 34015,720.0,5.8
674,RU000A101RJ7,Межд.Банк Эк.Сотруд. 001P-02,1000.0,6.2
675,RU000A101RT6,Республика Казахстан 05,1000.0,7.48
676,RU000A101RV2,Республика Казахстан 07,1000.0,6.55
677,RU000A101RW0,Республика Казахстан 08,1000.0,7.69
678,RU000A101RZ3,Республика Казахстан 11,1000.0,7.0
679,RU000A101S08,Республика Казахстан 12,1000.0,7.92
680,RU000A101S16,Республика Казахстан 13,1000.0,7.92
681,RU000A101S32,СберИОС 001Р-274R 5Г БОНД ИНД,1000.0,0.01
682,RU000A101S99,Кировский завод 1P1,1000.0,11.0
683,RU000A101SC0,ГТЛК БО 001P-18,1000.0,7.84
684,RU000A101SD8,ГТЛК БО 001P-19,1000.0,7.97
685,RU000A101SF3,ПАО НК Роснефть 002P-10,1000.0,5.8
686,RU000A101SN7,Банк ВТБ (ПАО) Б-1-79,1000.0,0.01
687,RU000A101SS6,СберИОС 001Р-256R 5Г H.C.100%,1000.0,0.95
688,RU000A101SW8,СберИОС 001Р-265R 5Г CDX 100%,1000.0,0.946
689,RU000A101T23,СберИОС 001Р-279R 5Y ТЕХ,1000.0,0.01
690,RU000A101T31,СберИОС 001Р-264R 5Y США-ШВЕЙЦ,1000.0,0.01
691,RU000A101T56,РОСЭКСИМБАНК 002P-02,1000.0,9.9
692,RU000A101T64,Славнефть БО 001Р-01,1000.0,6.1
693,RU000A101T72,"Аптечная сеть 36,6 002P-01",1000.0,18.0
694,RU000A101TB0,ВЭБ.РФ ПБО-001Р-19,1000.0,6.59
695,RU000A101TD6,ДОМ.РФ Ипотечный агент 15-002P,315.3,5.9
